class,comid
7,20277019
7,20277021
7,20277023
7,20277027
7,20277029
7,20277055
7,20277061
7,20277063
7,20277065
7,20277275
7,20277845
7,20325587
7,20325601
7,20325657
7,20333258
7,20333284
7,20333336
7,20333348
7,20333350
7,20333354
7,20333376
7,20333426
7,20333436
7,20333446
7,20333454
7,20333456
7,20333466
7,20333484
7,20333488
7,20333494
7,20333520
7,20333542
7,20333546
7,20333552
7,20333556
7,20333576
7,20333580
7,20333584
7,20333602
7,20333608
7,20333610
7,20333616
7,20333618
7,20333620
7,20333626
7,20333630
7,20333638
7,20333646
7,20333654
7,20333658
7,20333660
7,20333674
7,20333694
7,20333702
7,20333704
7,20333708
7,20333716
7,20333722
7,20333740
7,20333768
7,20333772
7,20333774
7,20333802
7,20334518
7,20334636
7,20334640
7,20334642
7,20334646
7,20334650
7,20334654
7,20334656
7,20334658
7,20334662
7,20334698
7,20334700
7,20337550
7,20343351
7,20343379
7,20344503
7,20344509
7,22532752
7,22532756
7,22532770
7,22535270
7,22535408
7,22535438
7,22536188
7,22549631
7,22555042
7,22555066
7,22555084
7,22555096
7,22555098
7,22555104
7,22555110
7,22555112
7,22555114
7,22555128
7,22555136
7,22555140
7,22555148
7,22555158
7,22555160
7,22555164
7,22555166
7,22555170
7,22555176
7,22555180
7,22555182
7,22555184
7,22555186
7,22555188
7,22555190
7,22555204
7,22555230
7,22555242
7,22555244
7,22555248
7,22555250
7,22555252
7,22555254
7,22555258
7,22555268
7,22555276
7,22555278
7,22555280
7,22555282
